checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
A11,25,A34,A46,16823,A63,A71,4,A91,A103,2,A121,52,A143,A151,1,A173,1,A192,A201,1
A13,59,A34,A43,5266,A65,A73,4,A93,A101,4,A124,30,A142,A151,1,A174,1,A192,A201,2
A11,23,A30,A43,10659,A65,A74,4,A93,A103,4,A123,67,A141,A152,1,A172,1,A191,A201,2
A12,26,A32,A40,2664,A61,A74,3,A92,A101,2,A123,37,A143,A152,1,A173,2,A191,A201,1
A12,26,A32,A43,2151,A61,A75,4,A92,A101,2,A121,36,A143,A153,1,A173,1,A192,A201,1
A12,26,A34,A40,1340,A65,A74,3,A92,A101,3,A123,25,A143,A152,1,A171,1,A191,A201,2
A14,39,A32,A43,5559,A62,A71,3,A93,A101,4,A123,34,A143,A152,1,A171,1,A191,A201,2
A14,29,A34,A43,3898,A61,A75,4,A92,A101,3,A124,31,A142,A152,3,A172,1,A191,A202,1
A12,39,A33,A44,4944,A61,A74,4,A93,A101,3,A121,35,A143,A153,2,A174,1,A191,A201,1
A12,15,A34,A45,5435,A61,A71,4,A94,A101,4,A121,32,A143,A152,2,A173,1,A192,A202,1
A12,56,A34,A42,1963,A63,A72,2,A93,A101,4,A123,25,A143,A152,2,A172,1,A192,A202,1
A13,17,A32,A43,3213,A61,A74,1,A93,A101,2,A121,43,A142,A152,1,A172,1,A191,A201,1
A12,18,A32,A410,4327,A63,A73,2,A92,A101,4,A122,22,A141,A151,1,A173,1,A191,A202,2
A14,24,A32,A43,3878,A61,A73,4,A93,A101,4,A124,34,A143,A152,1,A171,1,A192,A201,1
A14,18,A34,A43,7442,A61,A73,4,A93,A101,4,A122,28,A143,A153,3,A173,1,A191,A201,1
A13,26,A32,A46,3170,A64,A75,1,A93,A101,1,A124,47,A142,A153,3,A172,2,A191,A202,1
A14,72,A32,A44,12339,A64,A75,2,A93,A101,2,A124,32,A143,A151,2,A172,1,A191,A201,1
A13,22,A34,A41,6071,A61,A75,2,A92,A101,2,A124,34,A143,A153,3,A171,1,A192,A201,1
A12,22,A30,A46,11590,A61,A74,3,A93,A101,3,A124,45,A141,A151,4,A172,1,A191,A201,1
A14,18,A32,A43,13453,A61,A73,2,A93,A101,2,A123,35,A142,A153,2,A173,1,A191,A201,1
A12,26,A32,A42,2321,A61,A74,4,A92,A101,2,A123,30,A141,A153,2,A173,1,A192,A201,1
A12,15,A32,A410,8218,A63,A72,4,A92,A103,1,A123,43,A143,A153,1,A174,1,A192,A201,1
A14,14,A34,A45,1460,A61,A73,3,A93,A101,2,A124,34,A143,A152,1,A172,1,A191,A201,1
A11,43,A34,A40,2099,A64,A73,3,A93,A101,2,A123,35,A143,A152,1,A173,2,A191,A201,2
A13,24,A32,A46,1232,A64,A74,1,A93,A101,2,A121,52,A142,A152,1,A172,1,A192,A201,2
A13,16,A33,A48,7746,A61,A74,4,A93,A101,4,A124,27,A143,A151,1,A173,1,A192,A201,2
A14,17,A34,A45,7376,A62,A73,4,A93,A101,3,A124,34,A141,A152,1,A172,1,A191,A201,1
A12,66,A34,A40,2302,A61,A75,3,A93,A102,4,A123,40,A141,A152,2,A173,1,A191,A201,1
A13,39,A33,A45,1157,A64,A72,2,A94,A101,1,A121,22,A142,A152,4,A173,2,A191,A201,1
A14,22,A30,A42,11013,A65,A71,2,A93,A101,4,A122,24,A141,A153,4,A173,2,A191,A202,2
A11,24,A33,A46,2751,A63,A72,4,A93,A101,4,A122,74,A143,A152,3,A171,1,A192,A201,1
A11,47,A34,A40,2938,A61,A75,4,A93,A101,1,A122,37,A141,A153,2,A174,1,A191,A201,1
A14,43,A31,A43,1611,A65,A73,2,A92,A103,1,A121,47,A142,A152,1,A174,1,A191,A201,2
A12,72,A30,A410,5284,A61,A73,4,A91,A103,4,A123,41,A143,A153,4,A172,1,A192,A201,1
A14,24,A34,A41,2470,A61,A73,2,A91,A102,4,A121,46,A143,A151,1,A173,1,A191,A201,1
A13,40,A34,A48,18424,A61,A74,4,A92,A101,4,A124,34,A143,A152,1,A173,1,A191,A201,1
A14,26,A34,A46,1934,A61,A75,4,A93,A102,4,A123,28,A143,A152,3,A173,1,A192,A202,2
A12,37,A32,A40,18230,A65,A73,2,A94,A101,3,A121,37,A141,A152,4,A174,1,A192,A201,1
A14,24,A32,A49,9073,A65,A74,4,A92,A101,3,A123,37,A141,A152,2,A173,2,A192,A201,1
A11,15,A30,A42,2228,A62,A73,2,A93,A101,4,A123,33,A143,A152,2,A173,1,A191,A201,1
A14,13,A32,A44,4573,A65,A73,2,A94,A102,2,A121,47,A143,A153,1,A173,1,A192,A201,1
A12,22,A33,A42,2743,A65,A71,1,A92,A101,2,A123,32,A141,A151,2,A174,1,A192,A201,1
A12,22,A32,A44,5536,A63,A72,4,A92,A101,4,A123,61,A143,A152,1,A173,1,A191,A201,1
A11,21,A31,A410,1356,A65,A73,2,A93,A101,1,A121,75,A143,A151,2,A174,2,A191,A201,2
A11,22,A33,A43,1803,A64,A75,1,A93,A101,1,A121,32,A141,A152,1,A171,1,A191,A201,2
A13,21,A32,A43,6365,A61,A73,2,A92,A101,4,A123,43,A142,A153,1,A172,1,A191,A202,1
A12,22,A32,A43,3940,A61,A75,4,A92,A101,3,A123,44,A141,A151,1,A173,2,A191,A201,2
A14,15,A34,A44,18424,A65,A73,3,A93,A101,2,A123,46,A141,A153,1,A174,1,A192,A202,2
A12,21,A32,A41,1553,A65,A73,4,A93,A103,1,A124,30,A143,A153,1,A171,1,A191,A202,2
A14,21,A33,A49,3146,A61,A73,2,A93,A101,2,A123,37,A143,A152,1,A173,2,A191,A201,1
A14,56,A32,A40,1557,A61,A75,4,A93,A101,3,A121,52,A143,A152,3,A174,1,A192,A202,1
A11,17,A32,A45,4989,A64,A73,4,A93,A103,2,A124,60,A142,A152,1,A171,1,A191,A201,2
A12,22,A33,A49,2595,A61,A73,4,A92,A103,4,A123,25,A143,A152,3,A174,1,A191,A201,1
A13,14,A32,A42,12957,A61,A73,4,A93,A103,2,A124,34,A143,A152,2,A173,1,A191,A202,1
A13,26,A31,A41,2439,A61,A75,2,A92,A101,2,A123,30,A141,A153,2,A173,1,A191,A201,1
A14,7,A34,A42,16382,A61,A73,1,A93,A101,4,A123,33,A142,A152,4,A173,1,A191,A202,1
A14,13,A34,A42,2351,A63,A75,2,A93,A101,2,A123,41,A143,A152,4,A172,1,A191,A201,2
A11,23,A34,A49,6783,A61,A73,1,A92,A101,4,A121,75,A143,A152,3,A174,2,A191,A202,1
A12,25,A34,A40,3100,A61,A72,3,A93,A101,4,A123,29,A142,A153,2,A173,1,A191,A201,1
A11,21,A32,A40,18424,A61,A75,4,A93,A101,1,A123,28,A141,A152,1,A173,1,A191,A201,1
A14,22,A34,A45,12147,A61,A75,4,A93,A101,2,A124,37,A143,A151,1,A174,1,A191,A201,1
A14,16,A34,A40,4769,A63,A73,3,A93,A102,2,A123,58,A143,A152,3,A173,1,A192,A201,1
A12,39,A34,A42,4963,A61,A73,4,A92,A102,2,A123,51,A143,A152,2,A173,2,A192,A201,1
A14,24,A32,A41,4792,A61,A73,3,A93,A101,4,A123,33,A143,A151,2,A172,1,A192,A201,1
A12,44,A32,A410,6530,A61,A75,3,A92,A103,3,A122,42,A143,A153,3,A171,1,A192,A201,2
A12,24,A34,A43,4393,A65,A74,1,A92,A103,4,A124,37,A141,A152,1,A173,1,A191,A201,1
A12,25,A34,A42,6306,A61,A73,1,A93,A101,4,A124,74,A143,A153,1,A173,1,A191,A201,2
A11,24,A34,A40,1034,A62,A74,1,A93,A103,2,A123,29,A143,A153,1,A174,1,A192,A201,1
A12,17,A31,A43,1298,A65,A75,2,A93,A101,4,A121,43,A143,A152,1,A173,1,A191,A201,1
A12,16,A33,A49,2122,A65,A73,2,A92,A101,3,A124,26,A143,A152,4,A174,1,A192,A201,1
A11,15,A34,A46,4139,A61,A73,4,A93,A101,3,A122,33,A141,A152,3,A173,1,A191,A202,1
A14,41,A34,A49,1735,A61,A72,4,A93,A101,4,A124,38,A143,A152,1,A173,1,A191,A201,1
A12,15,A32,A43,2539,A61,A74,3,A94,A101,3,A122,33,A143,A152,2,A174,2,A192,A201,2
A14,25,A31,A45,3894,A61,A73,2,A93,A101,2,A123,34,A143,A152,3,A172,1,A191,A201,1
A14,18,A33,A410,11067,A64,A73,1,A93,A101,4,A124,31,A142,A151,1,A173,1,A192,A201,1
A11,11,A32,A43,2450,A61,A73,2,A93,A101,4,A123,35,A141,A152,2,A173,1,A191,A201,1
A11,24,A32,A46,2797,A62,A73,2,A92,A101,4,A121,57,A141,A152,1,A173,2,A192,A201,1
A11,72,A32,A43,4638,A61,A73,3,A93,A101,4,A123,56,A143,A151,3,A173,1,A191,A201,2
A14,15,A32,A43,6971,A61,A75,4,A93,A103,4,A124,23,A143,A151,1,A173,1,A191,A201,1
A12,17,A34,A40,4940,A63,A71,1,A92,A101,4,A123,43,A141,A151,1,A174,1,A192,A201,1
A12,23,A34,A42,2138,A61,A71,1,A93,A101,2,A124,66,A143,A152,3,A173,1,A192,A201,1
A12,39,A33,A45,4138,A61,A72,3,A92,A101,3,A124,30,A143,A152,2,A173,2,A191,A201,2
A14,20,A34,A45,2435,A64,A73,4,A93,A103,2,A121,47,A143,A152,2,A174,1,A191,A201,1
A13,16,A33,A42,15542,A61,A73,4,A92,A101,2,A121,30,A141,A152,1,A172,1,A192,A202,2
A14,40,A34,A45,2957,A63,A71,2,A93,A101,2,A122,30,A143,A153,4,A171,1,A192,A202,2
A14,56,A34,A49,5049,A61,A74,3,A92,A101,2,A121,35,A141,A152,1,A172,1,A191,A201,1
A14,60,A34,A46,2173,A62,A73,2,A92,A103,2,A122,31,A143,A152,1,A173,1,A191,A201,1
A13,16,A32,A40,3237,A61,A74,4,A94,A101,4,A124,37,A143,A152,1,A173,1,A192,A201,1
A12,22,A32,A40,2202,A61,A75,2,A93,A102,4,A123,29,A141,A152,2,A171,1,A191,A201,2
A12,24,A31,A45,4866,A61,A73,3,A91,A101,2,A121,30,A143,A152,2,A174,2,A191,A201,1
A13,16,A33,A41,6351,A61,A72,2,A93,A101,2,A124,42,A141,A152,1,A174,1,A191,A201,1
A14,13,A34,A43,1279,A61,A73,1,A92,A101,4,A123,33,A143,A152,3,A172,1,A192,A201,1
A12,14,A31,A40,2659,A61,A71,2,A92,A101,4,A123,46,A143,A152,1,A172,1,A191,A201,1
A12,19,A32,A49,2574,A61,A73,4,A91,A102,3,A123,63,A141,A152,3,A174,1,A191,A201,1
A12,22,A34,A46,2955,A61,A75,1,A93,A101,2,A123,21,A143,A152,1,A174,2,A192,A201,2
A11,17,A32,A42,2580,A61,A75,4,A93,A101,4,A123,36,A143,A152,3,A173,2,A191,A201,1
A11,24,A30,A40,5254,A65,A71,2,A92,A102,4,A122,31,A143,A151,1,A173,1,A192,A201,2
A11,18,A31,A42,2020,A61,A73,4,A93,A101,4,A121,40,A142,A153,3,A172,2,A192,A201,1
A14,21,A32,A40,4025,A61,A74,2,A91,A101,2,A123,34,A141,A151,3,A171,1,A191,A201,2
A13,19,A34,A41,1250,A65,A73,4,A93,A101,1,A123,57,A143,A152,3,A173,1,A191,A201,2
A14,22,A32,A43,1867,A61,A73,4,A93,A101,2,A123,29,A143,A151,4,A173,2,A192,A201,1
A14,35,A34,A43,2923,A61,A75,4,A93,A101,4,A121,34,A141,A152,1,A173,1,A192,A201,1
A11,17,A34,A41,18424,A63,A73,1,A94,A101,4,A124,31,A142,A152,3,A173,2,A192,A201,1
A14,10,A32,A41,18424,A64,A75,2,A93,A102,2,A121,75,A142,A151,2,A174,2,A191,A201,1
A14,24,A33,A43,1649,A65,A73,1,A92,A103,2,A122,64,A142,A152,2,A173,1,A192,A201,1
A12,23,A32,A40,3404,A61,A75,3,A93,A103,4,A123,32,A143,A152,1,A172,1,A191,A201,1
A13,21,A34,A44,2999,A63,A75,2,A91,A101,3,A124,41,A143,A153,1,A172,1,A191,A201,1
A11,14,A34,A43,2642,A65,A75,2,A92,A103,4,A121,41,A143,A152,1,A173,1,A192,A201,1
A13,10,A32,A43,3553,A61,A75,4,A92,A101,2,A124,35,A143,A152,2,A173,1,A191,A201,1
A11,22,A34,A46,1966,A61,A74,2,A92,A101,2,A123,34,A143,A153,3,A174,1,A191,A201,1
A13,22,A32,A43,608,A61,A74,3,A92,A101,4,A124,29,A143,A151,2,A173,1,A192,A201,1
A11,17,A34,A43,1516,A63,A74,4,A93,A101,2,A124,34,A143,A153,1,A171,1,A191,A201,2
A11,24,A34,A40,3059,A61,A72,2,A91,A101,2,A124,26,A142,A153,1,A174,1,A191,A201,2
A14,23,A32,A410,4363,A61,A73,3,A92,A101,2,A123,36,A143,A152,1,A173,1,A191,A201,1
A14,26,A34,A41,3708,A63,A75,4,A91,A101,2,A123,36,A143,A152,1,A173,1,A191,A201,1
A11,45,A33,A44,6494,A62,A72,4,A91,A101,4,A123,31,A143,A152,1,A173,1,A192,A201,2
A14,15,A33,A40,3069,A61,A73,3,A91,A101,1,A122,41,A142,A152,1,A172,1,A192,A201,1
A13,14,A34,A42,3462,A65,A71,3,A92,A101,4,A123,32,A143,A153,2,A174,1,A191,A201,1
A14,11,A32,A43,2936,A61,A75,2,A94,A101,1,A123,31,A143,A153,1,A173,1,A191,A201,1
A12,38,A30,A43,5097,A61,A72,4,A92,A102,3,A123,34,A143,A153,2,A174,1,A191,A201,1
A11,18,A33,A40,11792,A64,A74,1,A93,A103,1,A123,34,A143,A151,4,A173,1,A192,A201,1
A11,20,A34,A410,9201,A62,A73,4,A93,A101,2,A124,39,A142,A152,3,A174,2,A192,A201,1
A14,21,A31,A40,2546,A61,A73,2,A92,A103,1,A121,57,A143,A152,2,A174,1,A191,A201,2
A14,28,A31,A49,2621,A61,A75,1,A94,A101,2,A123,32,A143,A153,4,A173,1,A191,A201,1
A12,13,A33,A45,3252,A61,A74,1,A92,A103,2,A124,26,A143,A152,2,A172,1,A191,A202,2
A12,26,A33,A42,18424,A63,A73,4,A94,A102,3,A122,69,A141,A152,1,A174,1,A191,A201,1
A11,22,A34,A44,11780,A61,A71,2,A93,A101,4,A121,30,A143,A152,1,A173,1,A191,A201,2
A14,8,A31,A48,6089,A64,A73,3,A92,A101,3,A121,29,A143,A152,4,A173,1,A191,A202,2
A13,21,A31,A42,2894,A65,A73,4,A93,A102,4,A124,21,A143,A151,3,A174,1,A192,A201,2
A11,19,A32,A43,1400,A65,A72,2,A92,A102,1,A122,62,A143,A152,1,A172,1,A192,A202,2
A12,18,A31,A46,14534,A65,A71,3,A91,A101,4,A123,49,A141,A152,1,A171,1,A191,A201,2
A14,25,A30,A41,12314,A61,A73,2,A92,A101,3,A123,30,A143,A152,1,A172,2,A191,A201,1
A14,18,A34,A49,2854,A62,A73,2,A93,A101,3,A123,32,A143,A152,1,A173,1,A191,A201,1
A12,52,A31,A45,2892,A61,A72,4,A92,A101,4,A123,20,A143,A152,3,A172,1,A191,A201,1
A12,26,A34,A46,3071,A61,A73,3,A93,A101,4,A121,41,A143,A152,2,A174,2,A191,A201,1
A12,16,A30,A410,6302,A61,A74,4,A92,A101,2,A121,34,A142,A152,2,A174,2,A191,A202,2
A12,18,A33,A43,5064,A61,A74,3,A92,A101,4,A124,35,A143,A152,2,A173,1,A192,A201,1
A11,21,A34,A40,1740,A62,A75,4,A91,A101,4,A123,40,A143,A151,1,A173,2,A191,A201,1
A11,17,A32,A44,4821,A61,A74,4,A93,A103,3,A121,47,A143,A152,2,A171,1,A191,A201,1
A12,25,A32,A43,2756,A61,A74,1,A93,A101,2,A121,33,A141,A153,1,A174,1,A192,A201,2
A14,14,A34,A43,4147,A62,A75,4,A94,A103,4,A124,39,A141,A152,2,A173,1,A191,A201,1
A12,24,A32,A43,3419,A65,A74,4,A93,A101,4,A122,25,A143,A152,4,A173,1,A191,A201,2
A12,22,A34,A43,5711,A61,A75,3,A93,A101,4,A122,48,A143,A153,1,A172,1,A191,A201,2
A11,24,A32,A42,2753,A65,A74,4,A93,A101,4,A121,42,A141,A152,2,A173,1,A191,A201,1
A14,16,A32,A42,7850,A65,A73,3,A94,A101,2,A121,44,A142,A152,2,A174,2,A191,A201,1
A11,16,A31,A43,17900,A62,A74,1,A91,A101,1,A124,42,A143,A152,2,A174,1,A191,A201,1
A14,24,A34,A410,18424,A63,A71,2,A93,A101,4,A121,59,A141,A152,1,A172,2,A191,A201,2
A12,67,A32,A42,2656,A64,A71,4,A93,A101,4,A122,27,A143,A152,3,A173,2,A192,A201,2
A12,26,A33,A40,2967,A63,A75,3,A93,A101,1,A123,68,A142,A152,4,A173,1,A192,A201,2
A12,26,A32,A45,3318,A61,A74,2,A93,A103,4,A123,30,A143,A151,1,A173,1,A191,A201,2
A12,26,A32,A43,1773,A65,A71,3,A93,A102,4,A123,29,A142,A152,1,A171,1,A191,A201,1
A12,38,A33,A410,4063,A61,A73,1,A93,A101,3,A123,66,A143,A152,2,A173,1,A191,A201,2
A11,27,A34,A45,1057,A61,A75,4,A93,A101,2,A124,46,A143,A152,1,A173,1,A191,A201,1
A14,29,A30,A40,3309,A63,A71,4,A92,A101,4,A123,32,A141,A152,1,A173,1,A192,A201,1
A12,22,A34,A43,1325,A65,A74,1,A93,A103,2,A123,43,A143,A152,1,A174,1,A191,A201,2
A14,15,A34,A410,6030,A61,A75,1,A92,A101,2,A121,38,A141,A152,1,A174,1,A192,A201,1
A14,42,A34,A44,1319,A65,A74,4,A93,A102,2,A123,30,A143,A151,3,A174,1,A191,A201,1
A13,25,A32,A41,2764,A61,A72,2,A92,A101,2,A124,27,A143,A152,2,A172,1,A191,A201,2
A12,16,A34,A44,17598,A61,A72,2,A91,A103,4,A124,31,A143,A152,2,A172,1,A191,A201,1
A14,6,A34,A40,12621,A64,A75,4,A93,A101,4,A121,31,A142,A151,2,A173,1,A192,A201,2
A12,22,A30,A44,2235,A65,A75,1,A93,A102,2,A123,29,A143,A152,2,A173,1,A192,A202,1
A11,25,A32,A49,3855,A63,A73,3,A93,A102,4,A122,71,A142,A151,1,A172,2,A191,A201,1
A13,21,A32,A410,2871,A61,A73,3,A93,A101,2,A121,65,A143,A151,1,A173,1,A192,A201,1
A12,21,A33,A44,14380,A61,A73,3,A93,A101,2,A123,29,A143,A152,3,A171,1,A192,A201,1
A14,21,A34,A410,4978,A63,A74,3,A93,A101,2,A123,21,A143,A153,2,A172,1,A192,A201,1
A14,32,A34,A41,2290,A61,A71,4,A93,A101,3,A123,30,A142,A152,1,A171,1,A191,A201,1
A12,8,A33,A46,5829,A61,A73,2,A92,A102,2,A123,39,A142,A151,3,A174,1,A191,A201,2
A11,18,A33,A41,5509,A61,A72,2,A93,A101,2,A121,75,A143,A152,1,A173,1,A191,A201,1
A14,20,A34,A42,1692,A61,A74,4,A92,A103,1,A122,46,A143,A153,2,A171,2,A192,A201,1
A12,14,A34,A44,5293,A64,A74,2,A93,A101,1,A121,32,A143,A152,1,A174,1,A191,A201,1
A14,22,A34,A42,5512,A61,A75,4,A92,A101,2,A122,25,A143,A153,2,A173,2,A191,A201,2
A12,25,A32,A46,18424,A63,A75,4,A92,A103,3,A122,31,A143,A152,2,A173,1,A191,A201,2
A14,72,A34,A41,3126,A62,A75,1,A93,A101,2,A123,28,A143,A152,1,A174,1,A191,A201,1
A14,20,A34,A46,4796,A61,A75,4,A94,A101,3,A123,31,A142,A151,3,A172,1,A191,A201,1
A12,14,A34,A43,4755,A64,A75,4,A92,A101,2,A123,46,A141,A152,1,A172,1,A191,A201,1
A12,12,A32,A42,2266,A61,A75,4,A93,A101,4,A124,48,A141,A152,2,A173,1,A191,A201,1
A13,19,A32,A43,15514,A63,A73,1,A92,A101,3,A124,29,A143,A152,4,A172,1,A192,A201,1
A12,48,A30,A48,439,A61,A71,1,A93,A101,4,A123,39,A141,A152,3,A172,2,A192,A201,1
A12,20,A34,A41,3143,A61,A73,1,A94,A101,2,A123,72,A143,A152,2,A172,2,A191,A201,2
A12,16,A33,A43,8585,A65,A72,2,A93,A102,1,A123,33,A143,A152,4,A172,1,A191,A201,1
A14,27,A34,A49,2298,A61,A73,3,A93,A101,4,A122,24,A143,A152,1,A174,1,A191,A201,1
A14,20,A34,A41,4968,A64,A74,3,A92,A101,1,A124,63,A142,A152,1,A171,1,A192,A201,1
A14,35,A32,A49,18424,A62,A73,1,A93,A102,4,A121,66,A142,A151,1,A174,1,A191,A201,2
A14,22,A34,A43,5714,A61,A74,4,A92,A101,4,A124,24,A143,A152,1,A172,2,A192,A201,2
A12,39,A30,A40,17851,A62,A72,1,A93,A101,1,A124,49,A143,A152,4,A173,1,A191,A201,1
A12,24,A32,A46,4423,A61,A72,2,A91,A101,1,A123,43,A143,A153,3,A174,1,A192,A201,2
A12,12,A30,A43,5968,A61,A73,2,A92,A101,1,A124,27,A143,A153,1,A171,1,A192,A202,1
A11,25,A32,A410,1525,A65,A73,1,A94,A101,4,A123,41,A143,A151,1,A173,1,A191,A202,1
A12,17,A34,A48,15739,A62,A73,3,A92,A102,2,A123,26,A143,A151,1,A173,1,A191,A201,1
A14,20,A32,A40,4115,A65,A72,4,A92,A101,4,A123,31,A142,A153,1,A173,1,A191,A201,1
A14,27,A32,A49,18424,A63,A72,4,A92,A101,4,A121,22,A143,A152,3,A174,1,A192,A201,1
A12,26,A32,A46,1426,A63,A74,4,A93,A101,4,A123,27,A143,A153,1,A173,1,A191,A201,2
A12,22,A32,A46,4900,A61,A73,3,A93,A101,2,A124,33,A143,A152,2,A172,1,A191,A201,1
A12,38,A33,A49,2633,A65,A74,1,A92,A101,1,A124,47,A142,A151,1,A173,1,A191,A201,1
A11,25,A33,A410,3008,A64,A74,4,A92,A101,4,A121,27,A143,A152,2,A174,1,A191,A201,1
A12,56,A34,A48,2399,A61,A74,4,A91,A101,1,A123,37,A143,A151,1,A174,1,A191,A201,1
A12,41,A33,A45,11710,A61,A75,3,A92,A101,1,A124,36,A143,A152,4,A174,1,A192,A202,1
A12,24,A34,A45,5174,A65,A73,4,A94,A101,3,A121,53,A143,A152,3,A171,1,A192,A201,1
A14,23,A32,A43,1795,A63,A74,2,A92,A101,2,A123,53,A141,A152,1,A171,1,A192,A201,2
A11,45,A32,A49,1822,A64,A75,2,A93,A101,2,A123,29,A143,A151,2,A174,1,A191,A202,1
A12,27,A33,A41,8847,A63,A74,4,A91,A101,2,A124,39,A143,A152,1,A173,1,A192,A201,1
A13,14,A33,A43,2987,A61,A74,4,A92,A101,2,A123,29,A141,A152,2,A174,1,A191,A201,1
A14,21,A34,A49,2982,A65,A74,4,A93,A101,4,A122,50,A143,A153,1,A174,1,A191,A202,1
A12,11,A31,A43,4331,A64,A72,4,A93,A101,2,A121,44,A141,A152,1,A173,1,A191,A202,1
A11,21,A32,A44,5268,A61,A75,4,A93,A101,2,A124,28,A143,A152,1,A174,1,A191,A201,2
A14,25,A31,A43,1834,A64,A73,3,A94,A101,2,A122,34,A143,A152,1,A174,1,A191,A202,1
A13,24,A32,A40,2502,A61,A74,1,A93,A101,2,A123,38,A143,A152,1,A171,1,A191,A201,1
A14,46,A33,A42,2725,A62,A73,2,A93,A101,2,A124,46,A143,A152,1,A173,1,A191,A201,2
A12,19,A33,A40,2544,A65,A75,4,A93,A101,2,A123,25,A141,A153,1,A174,2,A191,A201,1
A14,27,A30,A42,18110,A63,A72,2,A93,A101,4,A121,27,A141,A152,2,A172,1,A191,A202,1
A12,22,A31,A45,10101,A65,A73,2,A92,A101,3,A123,30,A142,A153,1,A173,1,A191,A201,1
A13,26,A31,A410,13136,A61,A72,2,A93,A101,2,A124,38,A143,A151,2,A173,2,A191,A201,1
A14,18,A32,A40,3773,A62,A74,2,A93,A103,4,A121,27,A143,A152,1,A173,1,A191,A201,1
A14,14,A32,A40,2585,A61,A73,4,A91,A103,1,A124,45,A142,A152,2,A171,1,A191,A201,1
A13,25,A31,A42,17814,A61,A75,4,A93,A102,1,A123,33,A143,A151,4,A173,1,A192,A201,1
A13,24,A30,A45,2644,A61,A75,2,A92,A101,4,A124,39,A143,A152,3,A173,1,A192,A201,1
A11,32,A34,A41,2451,A61,A73,2,A93,A102,4,A123,33,A143,A152,1,A172,1,A192,A201,1
A14,57,A31,A41,2847,A61,A74,4,A93,A101,4,A124,24,A143,A152,4,A173,1,A192,A201,2
A11,19,A33,A43,4956,A61,A75,4,A93,A103,4,A121,26,A143,A152,1,A173,1,A191,A201,1
A14,20,A30,A42,5916,A61,A73,2,A93,A101,3,A124,27,A143,A152,2,A173,1,A191,A201,1
A13,28,A32,A43,3467,A65,A75,1,A93,A101,4,A124,32,A143,A152,2,A173,1,A192,A201,1
A12,17,A32,A43,2875,A65,A75,4,A93,A103,2,A121,34,A143,A153,4,A173,1,A191,A201,1
A12,8,A34,A44,3060,A61,A73,4,A92,A101,1,A122,45,A143,A152,4,A171,1,A192,A201,1
A13,21,A34,A44,5655,A65,A71,4,A92,A101,1,A124,45,A143,A153,1,A173,1,A192,A201,1
A12,18,A32,A48,1747,A61,A75,1,A93,A101,4,A122,29,A143,A151,2,A174,1,A191,A201,1
A11,13,A34,A410,1102,A63,A74,1,A91,A101,2,A124,23,A143,A153,1,A173,1,A191,A201,1
A12,55,A33,A40,2162,A64,A75,2,A92,A101,2,A123,49,A141,A152,3,A173,2,A192,A201,2
A12,44,A34,A42,1581,A64,A73,2,A91,A101,4,A122,33,A143,A152,1,A171,1,A191,A201,1
A12,25,A34,A44,18424,A65,A75,1,A93,A101,2,A122,36,A143,A152,3,A172,1,A191,A201,2
A12,20,A34,A40,1418,A62,A74,2,A93,A101,4,A124,50,A143,A152,2,A174,1,A191,A201,1
A12,46,A33,A40,2726,A61,A71,4,A92,A101,4,A122,29,A143,A152,1,A173,1,A191,A201,1
A12,55,A30,A40,1649,A62,A73,3,A92,A102,3,A123,57,A143,A152,1,A173,1,A191,A201,1
A12,13,A32,A40,6992,A61,A73,4,A93,A101,3,A121,36,A142,A152,3,A171,1,A191,A201,1
A12,23,A32,A43,2811,A61,A75,1,A93,A101,4,A122,26,A143,A152,2,A171,1,A192,A201,1
A13,25,A34,A40,4283,A64,A71,3,A92,A101,2,A121,38,A143,A151,2,A172,2,A191,A201,1
A12,23,A34,A46,4845,A63,A71,4,A94,A101,4,A124,40,A142,A151,1,A172,1,A191,A201,2
A14,21,A31,A49,15276,A63,A74,4,A92,A101,4,A121,29,A143,A152,4,A172,1,A192,A202,2
A12,25,A32,A40,4322,A61,A74,2,A91,A103,2,A122,44,A143,A151,1,A174,1,A191,A201,1
A11,14,A33,A48,1812,A61,A75,2,A93,A101,4,A123,25,A143,A152,3,A173,1,A192,A201,1
A12,24,A32,A45,9352,A62,A74,4,A93,A101,3,A123,24,A143,A153,1,A174,2,A191,A201,2
A14,7,A32,A40,15295,A61,A74,2,A93,A101,4,A124,26,A143,A152,2,A172,1,A191,A201,2
A12,16,A32,A410,5591,A62,A73,3,A93,A101,4,A123,67,A141,A152,3,A172,1,A191,A201,1
A12,25,A30,A43,2701,A64,A73,1,A93,A101,1,A124,75,A143,A152,2,A171,1,A192,A201,1
A11,22,A32,A42,18424,A62,A74,1,A93,A101,4,A122,30,A141,A152,1,A173,1,A192,A201,1
A12,38,A34,A46,5937,A65,A75,4,A94,A101,4,A121,34,A141,A152,1,A172,1,A191,A201,2
A12,24,A31,A43,2748,A62,A75,2,A92,A101,2,A122,41,A141,A152,1,A171,1,A191,A201,1
A12,26,A32,A48,3522,A61,A73,4,A92,A101,4,A123,39,A143,A152,2,A173,1,A191,A201,1
A12,59,A34,A45,12075,A61,A73,2,A92,A101,2,A121,47,A143,A152,1,A172,1,A191,A201,1
